date,open,close,high,low,volume,company,Exchange,Currency,Country,Sector,Industry,Address,year,fiscalDateEnding,totalAssets,inventory,totalLiabilities
2023-09-20,147.26,149.83,151.9299,144.66,51854060,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2023-08-31,144.25,146.83,147.7275,139.76,84274205,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2023-07-31,133.42,144.18,144.605,131.55,85778938,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2023-06-30,128.44,133.81,139.469,127.78,100722016,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2023-05-31,126.35,128.59,130.0699,120.55,95710890,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2023-04-28,130.97,126.41,132.61,124.56,83664114,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2023-03-31,128.9,131.09,131.48,121.71,138093084,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2023-02-28,134.49,129.3,137.39,128.86,76080679,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2023-01-31,141.1,134.73,147.18,132.98,105576019,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2023,NA,NA,NA,NA
2022-12-30,149.98,140.89,153.21,137.195,86426226,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-11-30,138.25,148.9,150.46,133.97,93620235,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-10-31,120.16,138.29,138.8615,115.545,113480787,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-09-30,128.4,118.81,130.99,118.61,87256958,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-08-31,130.75,128.45,139.34,128.4,77392342,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-07-29,141.0,130.79,141.87,125.13,129801061,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-06-30,139.67,141.19,144.73,132.85,105815743,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-05-31,133.0,138.84,139.83,125.8,113207659,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-04-29,129.66,132.21,141.88,124.91,107525264,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-03-31,122.67,130.02,133.08,120.7,96447210,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-02-28,133.76,122.51,138.82,118.81,98492968,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2022-01-31,134.07,133.57,142.2,124.193,147238382,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2022,2022-12-31 00:00:00,127243000000.0,1552000000.0,105222000000.0
2021-12-31,118.25,133.66,134.99,116.56,113930079,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-11-30,125.05,117.1,127.29,114.56,119252012,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-10-29,141.0,125.1,146.0,124.62,144097758,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-09-30,139.98,138.93,140.57,132.78,76644238,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-08-31,141.45,140.34,144.7,137.21,69687056,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-07-30,146.96,140.96,147.5,136.2089,110625907,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-06-30,145.0,146.59,152.84,143.04,84365220,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-05-28,143.81,143.74,148.515,140.92,98036425,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-04-30,133.76,141.88,148.74,130.38,122920494,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-03-31,120.35,133.26,137.07,118.755,127967821,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-02-26,119.9,118.93,124.35,118.12,106339228,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2021-01-29,125.85,119.11,132.24,117.36,176168962,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2021,2021-12-31 00:00:00,132001000000.0,1649000000.0,113005000000.0
2020-12-31,123.9,125.88,127.69,121.72,102587006,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-11-30,112.65,123.52,125.313,111.16,103461100,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-10-30,122.36,111.66,135.5,105.92,159130911,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-09-30,122.85,121.67,129.95,116.48,84510174,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-08-31,123.5,123.31,130.47,122.15,74033007,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-07-31,120.27,122.94,132.17,115.2,113972765,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-06-30,124.64,120.77,135.88,115.88,120931250,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-05-29,123.19,124.9,126.97,111.81,92864791,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-04-30,106.36,125.56,129.31,104.52,130400316,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-03-31,130.75,110.93,136.1,90.56,189585053,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-02-28,144.25,130.15,158.75,126.36,118092333,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
2020-01-31,135.0,143.73,145.79,133.2,112864967,IBM,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",2020,2020-12-31 00:00:00,155971000000.0,1812000000.0,135244000000.0
