date,open,close,high,low,volume,company
2023-09-20,147.2600,149.8300,151.9299,144.6600,51854060,IBM
2023-08-31,144.2500,146.8300,147.7275,139.7600,84274205,IBM
2023-07-31,133.4200,144.1800,144.6050,131.5500,85778938,IBM
2023-06-30,128.4400,133.8100,139.4690,127.7800,100722016,IBM
2023-05-31,126.3500,128.5900,130.0699,120.5500,95710890,IBM
2023-04-28,130.9700,126.4100,132.6100,124.5600,83664114,IBM
2023-03-31,128.9000,131.0900,131.4800,121.7100,138093084,IBM
2023-02-28,134.4900,129.3000,137.3900,128.8600,76080679,IBM
2023-01-31,141.1000,134.7300,147.1800,132.9800,105576019,IBM
2022-12-30,149.9800,140.8900,153.2100,137.1950,86426226,IBM
2022-11-30,138.2500,148.9000,150.4600,133.9700,93620235,IBM
2022-10-31,120.1600,138.2900,138.8615,115.5450,113480787,IBM
2022-09-30,128.4000,118.8100,130.9900,118.6100,87256958,IBM
2022-08-31,130.7500,128.4500,139.3400,128.4000,77392342,IBM
2022-07-29,141.0000,130.7900,141.8700,125.1300,129801061,IBM
2022-06-30,139.6700,141.1900,144.7300,132.8500,105815743,IBM
2022-05-31,133.0000,138.8400,139.8300,125.8000,113207659,IBM
2022-04-29,129.6600,132.2100,141.8800,124.9100,107525264,IBM
2022-03-31,122.6700,130.0200,133.0800,120.7000,96447210,IBM
2022-02-28,133.7600,122.5100,138.8200,118.8100,98492968,IBM
2022-01-31,134.0700,133.5700,142.2000,124.1930,147238382,IBM
2021-12-31,118.2500,133.6600,134.9900,116.5600,113930079,IBM
2021-11-30,125.0500,117.1000,127.2900,114.5600,119252012,IBM
2021-10-29,141.0000,125.1000,146.0000,124.6200,144097758,IBM
2021-09-30,139.9800,138.9300,140.5700,132.7800,76644238,IBM
2021-08-31,141.4500,140.3400,144.7000,137.2100,69687056,IBM
2021-07-30,146.9600,140.9600,147.5000,136.2089,110625907,IBM
2021-06-30,145.0000,146.5900,152.8400,143.0400,84365220,IBM
2021-05-28,143.8100,143.7400,148.5150,140.9200,98036425,IBM
2021-04-30,133.7600,141.8800,148.7400,130.3800,122920494,IBM
2021-03-31,120.3500,133.2600,137.0700,118.7550,127967821,IBM
2021-02-26,119.9000,118.9300,124.3500,118.1200,106339228,IBM
2021-01-29,125.8500,119.1100,132.2400,117.3600,176168962,IBM
2020-12-31,123.9000,125.8800,127.6900,121.7200,102587006,IBM
2020-11-30,112.6500,123.5200,125.3130,111.1600,103461100,IBM
2020-10-30,122.3600,111.6600,135.5000,105.9200,159130911,IBM
2020-09-30,122.8500,121.6700,129.9500,116.4800,84510174,IBM
2020-08-31,123.5000,123.3100,130.4700,122.1500,74033007,IBM
2020-07-31,120.2700,122.9400,132.1700,115.2000,113972765,IBM
2020-06-30,124.6400,120.7700,135.8800,115.8800,120931250,IBM
2020-05-29,123.1900,124.9000,126.9700,111.8100,92864791,IBM
2020-04-30,106.3600,125.5600,129.3100,104.5200,130400316,IBM
2020-03-31,130.7500,110.9300,136.1000,90.5600,189585053,IBM
2020-02-28,144.2500,130.1500,158.7500,126.3600,118092333,IBM
2020-01-31,135.0000,143.7300,145.7900,133.2000,112864967,IBM
2019-12-31,134.4500,134.0400,136.4200,130.6900,71661951,IBM
2019-11-29,134.5000,134.4500,139.1400,132.7500,64898948,IBM
2019-10-31,145.5900,133.7300,147.3500,130.9000,92647927,IBM
2019-09-30,134.8500,145.4200,146.5700,133.3300,62083780,IBM
2019-08-30,148.9000,135.5300,152.9500,128.8300,96719129,IBM
2019-07-31,139.6000,148.2400,151.9400,139.1300,80175943,IBM
2019-06-28,127.1000,137.9000,140.1500,127.0600,61342985,IBM
2019-05-31,140.5500,126.9900,141.8100,126.8500,75537897,IBM
2019-04-30,141.5100,140.2700,145.3900,136.2600,80199229,IBM
2019-03-29,139.3100,141.1000,142.1200,133.5800,74688899,IBM
2019-02-28,134.9700,138.1300,140.4900,132.1200,68462024,IBM
2019-01-31,112.0100,134.4200,135.4100,111.6900,120388583,IBM
2018-12-31,125.6700,113.6700,126.5900,105.9400,115600988,IBM
2018-11-30,115.5000,124.2700,125.0600,114.5400,141719180,IBM
2018-10-31,151.7100,115.4300,154.3600,114.0900,198093801,IBM
2018-09-28,145.9800,151.2100,153.3500,144.8100,95868702,IBM
2018-08-31,144.7600,146.4800,147.9300,142.0000,79196876,IBM
2018-07-31,138.2800,144.9300,150.5400,138.2000,95015127,IBM
2018-06-29,142.4300,139.7000,147.5200,137.4500,90243111,IBM
2018-05-31,144.6500,141.3100,146.2000,139.9000,88812832,IBM
2018-04-30,153.3400,144.9600,162.0000,144.1100,122893135,IBM
2018-03-29,155.5300,153.4300,162.1100,148.5400,92113147,IBM
2018-02-28,163.1900,155.8300,164.1300,144.4000,100673819,IBM
2018-01-31,154.5000,163.7000,171.1300,153.5400,140197975,IBM
2017-12-29,154.4000,153.4200,157.8500,151.4900,87525752,IBM
2017-11-30,154.1000,153.9700,154.9000,146.2110,89208545,IBM
2017-10-31,145.3500,154.0600,162.5100,145.2100,121490046,IBM
2017-09-29,142.9800,145.0800,147.4200,141.6400,77056229,IBM
2017-08-31,145.0000,143.0300,145.6700,139.1300,79260314,IBM
2017-07-31,153.5800,144.6700,156.0250,143.6400,91242021,IBM
2017-06-30,152.8000,153.8300,157.2000,150.8000,82652760,IBM
2017-05-31,160.0500,152.6300,160.4200,149.7900,102455942,IBM
2017-04-28,173.8200,160.2900,176.3300,159.6000,80758989,IBM
2017-03-31,180.4800,174.1400,182.5500,172.0937,79476385,IBM
2017-02-28,175.0000,179.8200,182.7900,172.8900,59817600,IBM
2017-01-31,167.0000,174.5200,179.2500,165.3400,88671370,IBM
2016-12-30,161.9500,165.9900,169.9520,158.3000,69463793,IBM
2016-11-30,153.5000,162.2200,164.6600,151.0000,76340912,IBM
2016-10-31,158.0600,153.6900,158.5300,147.7900,78325840,IBM
2016-09-30,158.3200,158.8500,165.0000,153.2100,69951563,IBM
2016-08-31,160.6500,158.8800,164.9500,157.8500,69680582,IBM
2016-07-29,152.1900,160.6200,163.6000,149.9200,69930927,IBM
2016-06-30,153.0000,151.7800,155.4800,142.5000,77115961,IBM
